================================================================================
 BITÁCORA DE APRENDIZAJE – ACTIVO: NVDA (NVIDIA CORPORATION)
 Inicialización: 2026-06-01
================================================================================

[2026-06-01] ENTRADA INICIAL – DÍA 1
- Contexto: Nvidia presentó chip RTX Spark (superchip IA para PCs) en Computex Taipei. Acción subió +6.2% en la sesión. Q1 FY27 FCF récord de $48.6B.
- Catalizadores: Capex hyperscalers hacia $610B+ en 2026. Dominio 80-85% mercado chips IA. Analyst PT promedio $305, Tigress Financial PT $425 (+100%).
- Riesgos: Competencia creciente (AMD, chips personalizados). Valuación elevada. Dependencia de ciclo capex.
- Confianza inicial: 60% (sesgo positivo estructural fuerte).
- Punto ciego: Subestimar efecto de ASICs personalizados (Broadcom) en participación de mercado a largo plazo.

================================================================================

[2026-06-01] CICLO 22:40 - Precio: $212.89 | Variacion: -1.2% | Prob: 72% | Conf: 60%
[2026-06-02] GH 04:52 - Precio: $218.54 | Var: 1.42% | Prob: 72%
[2026-06-02] GH 04:58 - Precio: $217.84 | Var: 1.1% | Prob: 72%
[2026-06-02] INTRA 05:08 - $224.36 | 6.26% | Prob: 72%
[2026-06-02] INTRA 05:17 - $224.36 | 6.26% | Prob: 72% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 05:23 - $224.36 | 6.26% | Prob: 88% | Lidera la IA con fuerte impulso de demanda de GPU.
[2026-06-02] INTRA 05:33 - $224.36 | 6.26% | Prob: 95% | Líder en GPUs para IA con crecimiento sostenido en ingresos
[2026-06-02] INTRA 05:39 - $224.36 | 6.26% | Prob: 95% | Alto momentum y liderazgo en GPUs para IA.
[2026-06-02] INTRA 05:41 - $224.36 | 6.26% | Prob: 95% | Liderazgo en chips de IA y crecimiento sostenido en demanda
[2026-06-02] INTRA 06:23 - $224.36 | 6.26% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:43 - $224.36 | 6.26% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:54 - $224.36 | 6.26% | Prob: 95% | RSI 53.9, MACD alcista, MA50 12%, sentimiento positivo 0.6, alta demanda AI.
[2026-06-02] INTRA 07:05 - $224.36 | 6.26% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:50 - $264.56 | -0.54% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:55 - $263.5 | -0.94% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-03] INTRA 01:52 - $264.81 | -0.45% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:24 - $269.41 | 1.28% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:39 - $222.82 | -0.69% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:52 - $222.82 | -0.69% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:02 - $222.82 | -0.69% | Prob: 92% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:42 - $222.82 | -0.69% | Prob: 87% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:57 - $222.82 | -0.69% | Prob: 83% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 04:29 - $222.82 | -0.69% | Prob: 79% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 05:14 - $222.82 | -0.69% | Prob: 76% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:02 - $215.66 | -3.21% | Prob: 73% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:52 - $NaN | NaN% | Prob: 70% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 20:30 - $214.75 | -3.62% | Prob: 70% | Tendencia alcista, RSI 41.7 indica margen de subida; sentimiento IA positivo (0.72) y noticias favorables. Riesgo moderado por RSI bajo.
[2026-06-03] INTRA 22:05 - $214.75 | -3.62% | Prob: 62% | Tendencia alcista, RSI 41.7, MACD alcista; sentimiento IA neutral pero precisión histórica 37%, riesgo moderado.
[2026-06-03] INTRA 23:07 - $214.75 | -3.62% | Prob: 65% | Tendencia alcista, MACD positivo, RSI 41.7 sugiere margen de subida; noticias positivas de IA y fuerte demanda compensan caída de Broadcom.
[2026-06-04] INTRA 04:37 - $214.75 | -3.62% | Prob: 53% | Tendencia alcista con MACD positivo, pero RSI bajo 42 y precisión histórica baja (33%); noticias mixtas y alta valoración limitan alza.
[2026-06-04] INTRA 16:28 - $218.07 | 1.55% | Prob: 52% | Tendencia alcista con RSI 35 (sobreventa) y MACD bullish; sin embargo, noticias mixtas y precisión histórica baja (32%).
[2026-06-04] INTRA 18:00 - $219.41 | 2.17% | Prob: 63% | AI demand y tendencia alcista con MACD positivo, RSI 36.5 indica sobreventa; sentimiento IA neutral y alta precisión histórica baja, pero fundamentals fuertes.
[2026-06-04] INTRA 19:33 - $220.17 | 2.52% | Prob: 65% | Tendencia alcista, RSI 37.5 indica sobreventa; IA positivo (0.68) y fuerte demanda de chips AI.
[2026-06-04] INTRA 21:12 - $218.66 | 1.82% | Prob: 66% | Tendencia alcista, RSI 35.9 (sobreventa), MACD alcista; sentimiento IA positivo (0.65) y alta precisión sectorial.
[2026-06-04] INTRA 22:27 - $218.66 | 1.82% | Prob: 68% | Uptrend técnico, RSI bajo (35.9) sugiere sobreventa; presión regulatoria tras hearing del Senado; alta beta y PE.
[2026-06-04] INTRA 23:15 - $218.66 | 1.82% | Prob: 80% | Tendencia alcista, RSI 35.9 indica sobreventa, sentimiento IA positivo (0.65) y alta precisión sector 69%.
[2026-06-05] INTRA 16:10 - $208.66 | -4.57% | Prob: 62% | RSI 36.7 recupera zona neutral tras sell-off de semiconductores; MACD alcista apunta a rebound limitado ante volatilidad pre-FOMC y precisión histórica moderada.
[2026-06-05] INTRA 17:40 - $207.67 | -5.03% | Prob: 59% | MACD alcista y RSI 35.8 indican sobreventa; sin embargo, sentimiento IA neutral y venta de insiders generan riesgo moderado.
[2026-06-05] INTRA 19:09 - $205.88 | -5.84% | Prob: 45% | RSI 34.7 indica sobreventa, MACD alcista pero sentimiento IA negativo y precisión histórica 43%; tendencia uptrend sugiere posible rebote limitado.
[2026-06-05] INTRA 21:06 - $205.1 | -6.2% | Prob: 67% | Sentimiento IA positivo (+0.6), RSI 34 indica sobreventa, tendencia alcista y fuerte beta 2.22; soporte técnico cerca de $190.
[2026-06-05] INTRA 22:19 - $205.1 | -6.2% | Prob: 63% | Alza moderada respaldada por fuerte tendencia alcista, RSI bajo, MACD alcista y noticias positivas de IA.
[2026-06-06] INTRA 05:21 - $205.1 | -6.2% | Prob: 44% | Alta beta y RSI bajo indican sobreventa; sentimiento IA negativo y noticias de caída de acciones AI generan incertidumbre, pero fuerte posición de mercado y historial de sorpresas positivas.
[2026-06-08] INTRA 17:09 - $208.48 | 1.65% | Prob: 44% | Sentimiento IA negativo y RSI bajo (39.5) indican corrección; sin embargo, liderazgo en IA y margen robusto sostienen soporte técnico.
[2026-06-08] INTRA 18:13 - $208.88 | 1.84% | Prob: 43% | Fuerte impulso técnico (RSI 40, uptrend) y sentiment positivo; IA impulsa ingresos, PE 32 razonable.
[2026-06-08] INTRA 19:37 - $207.52 | 1.18% | Prob: 41% | Sentimiento IA positivo, fuerte demanda de GPUs para IA, beta alta y RSI bajo indican potencial de rebote; earnings recientes superaron expectativas.
[2026-06-08] INTRA 21:23 - $208.64 | 1.73% | Prob: 41% | Sentimiento IA positivo y earnings beat; RSI bajo indica sobreventa, pero tendencia uptrend sugiere rebote.
[2026-06-08] INTRA 22:32 - $208.64 | 1.73% | Prob: 40% | AI hype y alianzas estratégicas (Apple, Google) impulsan demanda; sin embargo RSI 39 indica sobreventa y posible corrección a corto plazo.
[2026-06-08] INTRA 23:24 - $208.64 | 1.73% | Prob: 39% | Fuerte posición en IA y gaming, PE 31.9, RSI 39 (sobreventa), tendencia uptrend, sentimiento IA positivo (0.85). Riesgo de sobrevaloración y volatilidad macro.
[2026-06-09] INTRA 17:41 - $203.65 | -2.39% | Prob: 40% | Alta valoración (PE 31) y presión técnica (RSI 37, MACD bajista) pese a liderazgo en IA; riesgo de corrección a corto plazo.
[2026-06-09] INTRA 19:29 - $205.2 | -1.65% | Prob: 43% | Fundamentales sólidos (PE 31, EPS 6.53) y demanda IA, pero sentiment IA negativo y RSI 38 sugiere sobreventa; upside técnico del 0.2% y alta beta.
[2026-06-09] INTRA 21:18 - $208.19 | -0.22% | Prob: 44% | Fuerte posición en IA y gaming; beta alta y RSI bajo indican sobreventa; noticias neutrales, pero adopción de opciones sugiere soporte. Expectativa de earnings positivos.
[2026-06-09] INTRA 22:28 - $208.19 | -0.22% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-09] INTRA 23:26 - $208.19 | -0.22% | Prob: 47% | RSI 40.3 indica sobreventa relativa, MACD bajista pero tendencia alcista sostenida, soporte fuerte en 52w low; objetivo 30d 230
[2026-06-11] INTRA 17:06 - $201.54 | 0.56% | Prob: 46% | Sentimiento IA positivo (0.6) y fuerte posición de mercado; RSI 35.9 indica sobreventa, soporte técnico cerca de $190; earnings Q1 2027 con sorpresa +3.16% sugiere impulso.
[2026-06-11] INTRA 18:36 - $203.04 | 1.31% | Prob: 45% | Sentimiento IA positivo (0.65) y fuerte posición de mercado; técnico muestra ligera bajista (RSI 37.7) pero fundamentals sólidos (PE 31, EPS 6.53).
[2026-06-11] INTRA 19:53 - $205.1 | 2.34% | Prob: 44% | Valoración alta (PE 31) y RSI bajo 39 sugiere sobreventa; sentimiento IA positivo pero técnico bajista, riesgo de corrección.
[2026-06-11] INTRA 21:42 - $204.87 | 2.22% | Prob: 42% | RSI 39.5 (sobreventa) y MACD bajista, pero soporte fuerte en $190; volumen bajo sugiere posible rebote.
[2026-06-11] INTRA 23:02 - $204.87 | 2.22% | Prob: 41% | Valoración alta (PE 31) pero crecimiento de IA sólido; RSI 39 sugiere sobreventa, tendencia bajista ligera.
[2026-06-11] INTRA 23:34 - $204.87 | 2.22% | Prob: 40% | Consenso tras debate: P/E 31.4 y fuerte crecimiento IA respaldan alza, pero RSI 39.5 y MACD bajista indican corrección a corto plazo. Se espera rebote técnico con soporte en $190 y resistencia en $210.
[2026-06-12] INTRA 17:55 - $204.9 | 0.01% | Prob: 38% | Valoración alta (PE 31.4) y beta 2.22; RSI 42 sugiere sobreventa, pero tendencia bajista MACD y noticias mixtas reducen confianza.
[2026-06-12] INTRA 19:25 - $204.98 | 0.05% | Prob: 38% | Fundamental sólido con PE 31.4 y crecimiento de IA, pero sentimiento neutral y RSI 42 indica sobreventa; riesgo técnico bajista.
[2026-06-12] INTRA 21:17 - $205.19 | 0.16% | Prob: 37% | AI sentiment positivo (+0.6) y fuerte posición de mercado; técnico ligeramente bajista (RSI 42) sugiere corrección corta, pero fundamentals robustos.
[2026-06-12] INTRA 22:33 - $205.19 | 0.16% | Prob: 37% | Sentimiento IA neutral, RSI 42, tendencia bajista ligera; alta valoración (P/E 31) y beta 2.22 aumentan riesgo a corto plazo.
[2026-06-12] INTRA 23:25 - $205.19 | 0.16% | Prob: 36% | Sentimiento neutral y técnico bajista (RSI 42). Valorización alta (P/E 31) y beta 2.22; sin earnings próximos, riesgo moderado.
[2026-06-15] INTRA 18:24 - $211.81 | 3.23% | Prob: 35% | Consenso tras debate: fuerte impulso de IA y anuncio de bonos de $20B respaldan un sesgo alcista; aunque el MACD es bajista, el RSI cerca de 48 y un soporte sólido cerca del mínimo de 52 semanas sugieren que la presión de compra puede mantenerse.
[2026-06-15] INTRA 19:23 - $211.92 | 3.28% | Prob: 34% | Consenso tras debate: la oferta de bonos indica liquidez, RSI neutro y MACD bajista sugieren corrección limitada con soporte en 200‑días; volumen moderado apoya posible rebote.
[2026-06-15] INTRA 20:51 - $212.45 | 3.54% | Prob: 33% | Consenso: Sentimiento neutral con impulso IA; técnico muestra tendencia alcista pese a RSI 48.5 y MACD bajista. Soporte fuerte en $200, resistencia $225.
[2026-06-15] INTRA 22:02 - $212.45 | 3.54% | Prob: 31% | Consenso tras debate: la divergencia entre los dos modelos se resuelve en favor de una probabilidad media de 59%, reflejando la alta confianza en el impulso de IA y la tendencia alcista técnica pese a la señal MACD bajista.
[2026-06-15] INTRA 23:10 - $212.45 | 3.54% | Prob: 30% | Sentimiento IA positivo (+0.75) y emisión de deuda de $20bn respaldan demanda; sin embargo, RSI 48.5 y MACD bajista indican corrección parcial.
[2026-06-15] INTRA 23:56 - $212.45 | 3.54% | Prob: 28% | Sentimiento IA positivo pero RSI 48.5 y MACD bajista indican posible corrección; fundamentals sólidos con PE 32.5 y sorpresa de EPS +3.16%.
[2026-06-16] INTRA 18:26 - $209.41 | -1.43% | Prob: 26% | NVDA combina liderazgo en GPU con IA generativa; earnings Q1 2027 superaron estimaciones (+3.16%). RSI neutro y tendencia alcista, aunque MACD bajista indica posible corrección corta.
[2026-06-16] INTRA 19:13 - $208.93 | -1.66% | Prob: 31% | Consenso tras debate: fundamentos sólidos y liderazgo en IA respaldan una perspectiva neutral‑alcista; indicadores técnicos mixtos pero soporte fuerte sugiere posible rebote.
[2026-06-16] INTRA 20:28 - $207.41 | -2.37% | Prob: 33% | RSI 46.7 y MACD bajista indican presión de venta, pero soporte en 52‑semana y ATR 4.03% sugieren posible reversión.
[2026-06-16] INTRA 21:59 - $207.41 | -2.37% | Prob: 34% | P/E 31.8, fuerte crecimiento de IA, RSI 46.7 y tendencia bajista ligera; sentimiento IA negativo pero fundamentals robustos.
[2026-06-16] INTRA 23:02 - $207.41 | -2.37% | Prob: 36% | Consenso tras debate: RSI neutro y MACD bajista indican ligera presión bajista, pero el impulso de IA y el tape‑out del AI5 Chip aportan soporte. Se mantiene una probabilidad media de 49% con confianza moderada.
[2026-06-16] INTRA 23:34 - $207.41 | -2.37% | Prob: 37% | Sentimiento IA positivo (+0.7) y tape-out del AI5 Chip de Tesla impulsan expectativas; técnico ligeramente bajista (RSI 46.7) sugiere corrección menor.
[2026-06-17] INTRA 17:01 - $207.51 | 0.05% | Prob: 37% | Sentimiento IA +1.0, fuerte guía de ingresos, PE 31.8 y RSI 45 sugiere espacio para alza; soporte técnico en 200d.
