================================================================================
 BITÁCORA DE APRENDIZAJE – ACTIVO: AVGO (BROADCOM INC.)
 Inicialización: 2026-06-01
================================================================================

[2026-06-01] ENTRADA INICIAL – DÍA 1
- Contexto: Broadcom líder en ASICs personalizados para IA. AI semicon revenue se duplicó a $8.4B en Q1. Google extendió acuerdo TPU hasta 2031. Earnings Q2 reporta Jun 3.
- Catalizadores: 94% de analistas Buy. Management estima ingresos IA en $100B para 2027. Clientes: Alphabet, Meta, Anthropic, OpenAI.
- Riesgos: Concentración en pocos clientes. Ciclo de gasto capex hyperscaler puede moderarse. Valuación alta.
- Confianza inicial: 60% (tendencia estructural favorable, earnings próximo es catalizador).
- Punto ciego: Dependencia de renovación de contratos con hyperscalers.

================================================================================

[2026-06-01] CICLO 22:40 - Precio: $413.38 | Variacion: -0.3% | Prob: 65% | Conf: 60%
[2026-06-02] GH 04:52 - Precio: $420.37 | Var: 1.39% | Prob: 65%
[2026-06-02] GH 04:58 - Precio: $420.59 | Var: 1.44% | Prob: 65%
[2026-06-02] INTRA 05:08 - $459.97 | 2.95% | Prob: 65%
[2026-06-02] INTRA 05:17 - $459.97 | 2.95% | Prob: 65% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 05:23 - $459.97 | 2.95% | Prob: 79% | Posicionamiento sólido en conectividad de datos y 5G.
[2026-06-02] INTRA 05:33 - $459.97 | 2.95% | Prob: 95% | Broadcom lidera en chips para redes y adquisición de VMware fortalece su posición
[2026-06-02] INTRA 05:39 - $459.97 | 2.95% | Prob: 95% | Amplio portafolio de semiconductores y alta demanda.
[2026-06-02] INTRA 05:41 - $459.97 | 2.95% | Prob: 95% | Innovación en semiconductores y crecimiento en IA
[2026-06-02] INTRA 06:23 - $459.97 | 2.95% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:43 - $459.97 | 2.95% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:54 - $459.97 | 2.95% | Prob: 95% | RSI 63.2, MACD alcista, MA50 18.4%, noticias neutrales, soporte técnico sólido.
[2026-06-02] INTRA 07:05 - $459.97 | 2.95% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:50 - $248.16 | 1.29% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:55 - $248.36 | 1.37% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-03] INTRA 01:52 - $244.96 | -0.02% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:24 - $246.74 | 0.71% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:39 - $481.57 | 4.7% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:52 - $481.57 | 4.7% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:02 - $481.57 | 4.7% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:42 - $481.57 | 4.7% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:57 - $481.57 | 4.7% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 04:29 - $481.57 | 4.7% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 05:14 - $481.57 | 4.7% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:02 - $486.11 | 0.94% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:52 - $488.28 | 1.39% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 20:30 - $479.23 | -0.49% | Prob: 95% | Tendencia alcista, RSI 73.6, alta precisión (100%) y noticias de gran captación de capital. Sentimiento IA positivo (0.72).
[2026-06-03] INTRA 22:05 - $479.23 | -0.49% | Prob: 74% | Alta precisión (96%) y sentimiento Reddit positivo; sin embargo, IA negativo y caída reciente tras earnings.
[2026-06-03] INTRA 23:07 - $479.23 | -0.49% | Prob: 80% | RSI 73.6, uptrend, pero noticia negativa de ingresos y caída de acciones pese a 143% de ingresos IA; alta precisión histórica (96%).
[2026-06-04] INTRA 04:37 - $479.23 | -0.49% | Prob: 73% | Técnica alcista pero RSI 73 y noticias negativas reducen impulso; alta precisión histórica (92%) sugiere cautela.
[2026-06-04] INTRA 16:28 - $410.64 | -14.31% | Prob: 95% | RSI 42, MACD bullish, alta precisión (92%) y cobertura positiva; expectativa de ramp-up en ASICs.
[2026-06-04] INTRA 18:00 - $423 | -11.73% | Prob: 95% | Tendencia alcista, RSI 44.8 neutral, sentimiento IA positivo, precisión 89%; Broadcom arrastra pero fundamentals sólidos.
[2026-06-04] INTRA 19:33 - $418.64 | -12.65% | Prob: 88% | RSI 44, tendencia alcista, beta bajo, IA neutral; alta precisión histórica respalda moderado alza.
[2026-06-04] INTRA 21:12 - $418.91 | -12.59% | Prob: 49% | RSI medio, MACD alcista, pero noticias negativas y presión de márgenes reducen confianza.
[2026-06-04] INTRA 22:27 - $418.91 | -12.59% | Prob: 95% | Uptrend, RSI 43 (neutral), alta precisión (83%); sector de semiconductores sólido.
[2026-06-04] INTRA 23:15 - $418.91 | -12.59% | Prob: 95% | Tendencia alcista, RSI 43.8, alta precisión sector 81% y sentimiento IA neutral, soporte de IA en chips.
[2026-06-05] INTRA 16:10 - $396.12 | -5.44% | Prob: 74% | Cerca de soporte con MACD alcista y compras de Cathie Wood; precisión histórica sólida (78%) justifica sesgo alcista moderado a 30 días.
[2026-06-05] INTRA 17:40 - $396.9 | -5.25% | Prob: 64% | Tendencia ligeramente bajista, RSI 42, pero alta precisión (76%) y sentimiento positivo en Reddit.
[2026-06-05] INTRA 19:09 - $388.29 | -7.31% | Prob: 91% | Tendencia ligeramente bajista pero MACD alcista, RSI 40.2, dividendos y alta precisión (76%); soporte en 52w medio.
[2026-06-05] INTRA 21:06 - $385.73 | -7.92% | Prob: 52% | Sentimiento IA negativo (-0.85), RSI 39 y tendencia ligeramente bajista; riesgo de caída por expectativas de tasas.
